S.N.,Title,Author(s),Year,Source / Publisher,Region or Country Focus,Type,SDG Target(s),Summary,Link (URL)
11,WJP Rule of Law Index 2023,World Justice Project,2023,World Justice Project,Global (142 countries),Index / Report,"16.3, 16.5","The latest World Justice Project Rule of Law Index finds that rule of law declined in 59% of countries between 2022 and 2023, marking the sixth consecutive year of global deterioration. Since 2016, an “epidemic of authoritarianism” has rolled back checks on executive power and eroded human rights in 78% of nations. Notably, Fundamental Rights protections have weakened in 77% of countries over that period. The 2023 index also flags expanding failures in justice systems – two-thirds of countries saw civil justice worsen due to delays and unequal access – and calls for a paradigm shift toward people-centered justice to rebuild trust and reverse the “global rule of law recession”.",https://worldjusticeproject.org/rule-of-law-index/downloads/WJPIndex2023.pdf
12,The Contribution of Civil Society to SDG16 through Security Sector Governance and Reform,Geneva Centre for Security Sector Governance (DCAF),2023,DCAF (Geneva Centre),Multi-country,Report (A selection of case studies),"16.3, 16.6, 16.7","Shows how civil society organizations (CSOs) are advancing SDG16 in fragile and security-sector contexts. Through four case studies, it illustrates CSO contributions such as: helping shape national SDG coordination bodies and indicators (e.g. a CSO working on police oversight co-developed governance indicators in South Africa); participating in Voluntary National Review consultations in conflict-affected states (CAR, Chad); and producing “shadow reports” (e.g. Ugandan CSOs’ SDG16 spotlight report) to ensure local security needs and human rights concerns inform official SDG reporting. The report recommends institutionalizing civil society’s role in SDG16 implementation and monitoring – as partners in policy forums, data-gatherers, and accountability watchdogs – to bridge the gap between global goals and community realities, especially in the security and justice sectors.",https://www.dcaf.ch/sites/default/files/publications/documents/CSO_Case_Studies_EN.pdf
13,Freedom in the World 2023,Freedom House,2023,Freedom House,Global (195 countries),Index / Report,"16.7, 16.10","Freedom House’s annual assessment recorded the 17th straight year of global freedom decline in 2022. Political rights and civil liberties deteriorated in 35 countries, while only 34 improved, leaving 72% of the world’s population (5.7 billion people) living under authoritarian rule – up from 46% a decade ago. The report highlights how blatant election interference, repression of dissent, and conflicts (e.g. Russia’s war in Ukraine, coups in West Africa) have intensified the democratic recession. Only 20% of people now live in “Free” countries, the lowest proportion since 1995, and global democracy has regressed to mid-1980s levels. Still, Freedom House notes instances of democratic resilience – from voters ousting autocrats in elections to mass protests forcing reforms – as a source of hope that the authoritarian tide can be stemmed. It urges continued support for democratic movements, independent media, and fair elections to reverse current trends and achieve SDG16’s vision of inclusive, rights-respecting governance.",https://freedomhouse.org/sites/default/files/2023-03/FIW_World_2023_DigtalPDF.pdf
14,"Halfway to 2030: A Civil-Society Assessment of Progress towards peaceful, just and inclusive societies",David Banisar,2023,TAP Network & SDG16NOW Coalition,Global,Report,16.1–16.10,"Civil-society mid-term review finds Goal 16 lagging badly; documents shrinking civic space and attacks on rights defenders, and urges governments to safeguard fundamental freedoms to unlock SDG progress.",https://www.sdg16now.org/wp-content/uploads/2023/05/Halfway-to-2030-Report-Digital.pdf
15,The Need for More Risk-Taking: SDG Implementation in Fragile Countries,Naheed Sarabi,2023,Brookings (Blog),Global (fragile states),Blog,"16.1, 16.6","Argues donors must share greater risk — financing and trying more innovative approaches — to achieve the SDGs in fragile and conflict-affected states. Notes that standard development projects shy away from fragile contexts due to political risks and complexity, which leaves these countries furthest behind. The blog suggests investing in core government functions (like justice, anti-corruption) even when success is uncertain, piloting adaptive programs that can work amid instability, and using crises as opportunities to push reforms. It cites examples from Afghanistan and the Sahel where cautious engagement hasn’t yielded results, concluding that without risk-tolerant investment in peace and institution-building, SDG16 and the whole 2030 Agenda will fail in fragile states.","https://www.brookings.edu/articles/sdg-implementation-for-fragile-countries-needs-more-risk-taking/#:~:text=SDG%20implementation%20in%20fragile%20countries%20needs%20much%20more%20partnership%20and,to%20execute%20and%20take%20ownership."
16,Democracy Report 2023: Defiance in the Face of Autocratization,Varieties of Democracy Institute (V-Dem),2023,V-Dem Institute,Global,Index / Report,"16.7, 16.10","Finds 72% of the world’s population now lives under autocratic regimes (up from 46% ten years ago) – though a few countries showed “democratic bright spots.” The 2023 report highlights a continued trend of democratic decline: 2022 saw the most closed autocracies since the Cold War. However, it also documents instances of “defiance,” where pro-democracy movements and opposition in some autocratizing states pushed back (sometimes slowing decline). Key indicators like freedom of expression, media integrity, and judicial independence fell in dozens of countries. V-Dem notes that while democracy is under threat, global solidarity and support for democratic actors are growing in response. It calls for bolstering these positive forces to counter autocratization.",https://www.v-dem.net/documents/29/V-dem_democracyreport2023_lowres.pdf
17,SDG16 Data Initiative Global Report 2022: Are we on track to meeting the 2030 agenda?,Theodor Thisell,2022,International IDEA (SDG16 Data Initiative),Global,Report,"16.1, 16.3, 16.6, 16.7","Assesses mid-point progress on SDG16, finding many targets off-track. The report notes that violence and conflict deaths (16.1) were not on a trajectory to halve, access to justice (16.3) remained unequal with vast populations lacking legal aid, corruption (16.5) continued to undermine institutions in many countries, and inclusion in decision-making (16.7) was stagnating. It identifies both positive trends (e.g., a few countries strengthening anti-corruption agencies) and negative ones (growing restrictions on civil society and media freedom). The likelihood of meeting most SDG16 targets by 2030 was deemed low without significant acceleration. The report recommends boosting support for independent data monitoring and integrating SDG16 into COVID-19 recovery plans as opportunities to get progress back on track.",https://www.idea.int/news/sdg16-data-initiative-global-report-2022-are-we-track-meeting-2030-agenda
18,Scientific Evidence on the Political Impact of the SDGs,Frank Biermann et al.,2022,Nature Sustainability 5(9): 795–800,Global,Academic Paper,"All (cross-cutting, governance focus)","Presents a meta-analysis of 3,000+ studies (2016–2021) to evaluate how the SDGs have influenced politics and governance. Concludes that overall, the transformative impact of the SDGs has been limited: while they increased discourse and some institutional adjustments, there’s scant evidence of major policy change or resource shifts attributable to the SDGs. Notably, SDG16 (governance) and SDG17 (partnerships) show some uptake in national strategies, but even there, changes often predated the SDGs or were symbolic. The authors suggest that without stronger accountability mechanisms and political incentives, the SDGs risk being more “rhetorical” than revolutionary. They recommend bolstering review processes and linking SDGs to domestic reform agendas to enhance political impact.",https://doi.org/10.1038/s41893-022-00909-5
19,"Latin America: Reinforcing Democratic Institutions after to achieve peace, justice and
inclusion",Carolina Tchintian; Gerardo Scherlis; Manuel Bertazzo,2022,CIPPEC,Latin America,Report,"16.3, 16.6, 16.7","Shows how pandemic-driven socio-economic shocks in Latin America revealed and worsened institutional weaknesses, but also spurred some democratic innovations. Discusses cases like Argentina and Colombia, where trust in government fell due to perceived mishandling of COVID-19, fueling protests. It then highlights reforms to reinforce institutions: e.g., expanding digital access to courts (to uphold justice during lockdowns), new social accountability mechanisms for emergency funds, and engaging civil society in recovery planning. The brief argues that to “re-build better,” Latin American countries should double down on anti-corruption, invest in local governments, and institutionalize the participatory practices started during the pandemic. Strengthening these democratic institutions and processes is seen as key to a resilient recovery aligned with SDG16.",https://southernvoice.org/latin-america-reinforcing-democratic-institutions-after-covid-19/
20,Building Trust to Reinforce Democracy: Findings from the 2021 OECD Survey on Drivers of Trust in Public Institutions,OECD,2022,OECD Publishing,OECD member states,Report,"16.6, 16.7","Cross-national survey shows less than 40% of people in OECD countries trust their national government. It examines factors influencing public trust, finding that responsiveness, reliability of services, integrity (perceived honesty of officials), and openness (transparency & citizen engagement) strongly affect whether citizens trust institutions. The report warns that low trust undermines democratic legitimacy and COVID-19 responses exacerbated trust gaps in some places. It suggests strategies to rebuild trust: improving public service delivery and communication, embedding integrity and accountability systems, and actively engaging citizens in decision-making. These findings make the case that progress on SDG16 (effective, accountable institutions) in advanced economies hinges on closing the trust deficit between governments and citizens.",https://www.oecd.org/en/publications/2022/07/building-trust-to-reinforce-democracy_1a87cc66.html
21,Sustainable Governance Indicators 2022 – Global Findings,Bertelsmann Stiftung ,2022,Bertelsmann Stiftung,OECD & EU,Analysis,"16.6, 16.7, 16.10","Expert index reveals decade-long erosion of median governance scores across OECD/EU nations. The SGI 2022 global report notes backsliding in indicators such as anti-corruption enforcement, legislative oversight, and media freedom in a significant number of advanced democracies, especially during 2020–2021. It points out that social policies (education, health) held up better than governance quality. The report discusses how polarization and executive aggrandizement in some countries led to weakened checks and balances. It calls for renewed democratic reforms in wealthy nations – strengthening parliaments, investing in independent media, and modernizing public administration – to uphold the high standards of governance envisaged by SDG16, warning that even established democracies are not immune to decline.",https://www.bertelsmann-stiftung.de/en/our-projects/sustainable-governance-indicators/publications/global-findings-2022
22,States of Fragility 2022,OECD,2022,OECD Publishing,Fragile & conflict-affected states,Report,"16.1, 16.3, 16.6","Profiles 60 contexts hosting 1.9 billion people that are classified as fragile according to the OECD’s multi-dimensional fragility framework. It finds that violence and conflict (SDG16.1) remain endemic in many of these areas, justice systems are often unable to handle disputes (16.3), and governance capacity and trust in institutions are very low (16.6). The report highlights spillovers: conflict and fragility are driving 85% of extreme poverty and much of forced displacement. It stresses that achieving SDG16 in these places is pivotal to the entire 2030 Agenda, yet aid to core governance has not kept pace. Recommends investing in conflict prevention, adaptive local institutions, and aligning humanitarian, development, and peace efforts (the “triple nexus”) to bolster fragile states’ resilience and pathway toward SDGs.",https://doi.org/10.1787/c7fedf5e-en
23,The Africa Governance Report 2021: Africa’s Governance Futures for the Africa we want,African Union & African peer review mechanism,2021,African Union & African peer review mechanism,Africa,Report,"16.6, 16.7","Uses scenario analysis to map governance trajectories in Africa through 2063 (the African Union’s Agenda 2063 horizon). It outlines three scenarios – “Renaissance” (significant improvements in rule of law, corruption control, and inclusion leading to peaceful, robust development), “Stagnation” (slow, uneven progress with pockets of reform but many states stuck in fragility), and “Decline” (worsening governance and conflict reversing gains). The report discusses current indicators (youth unemployment, trust in institutions, conflict trends) that might lead to each scenario. It emphasizes that choices made in the 2020s (investing in accountable institutions, empowering women and youth, implementing AU governance norms) will determine which path prevails. Recommendations include strengthening the APRM process, peer learning among countries, and greater citizen participation to drive a “governance renaissance” in Africa.",https://au.int/sites/default/files/documents/41632-doc-800614_APRM_Governance_Report_2021_03.pdf
24,World Public Sector Report 2021: National Institutional Arrangements for Implementation of the Sustainable Development Goals – A Five-year Stocktaking,UN Department of Economic and Social Affairs (UNDESA),2021,United Nations (UNDESA),Global (24-country sample),Report,"16.6, 16.7, 16.a","Examines how national institutions have adapted to coordinate and implement the SDGs in the first five years (2015–2020). It documents changes like the creation of high-level SDG commissions, integration of the SDGs into national development plans, and new monitoring frameworks. It assesses strengths and weaknesses: e.g., some countries achieved good vertical coordination (local-national alignment) and multi-stakeholder engagement, while others had fragmented responsibilities or capacity gaps. The report also looks at how countries set up SDG data systems and built public servant skills. It notes the COVID-19 pandemic’s impacts, which tested institutional arrangements. Overall, it draws lessons on institutional innovation, emphasizing that coherent, well-resourced coordination mechanisms and inclusive processes are vital for SDG16 and all goals.",https://desapublications.un.org/file/582/download
25,"It’s Time for the United States to Reengage with the SDGs, Starting with SDG 16",Kristen Cordell; Christine Li,2021,Center for Strategic & International Studies (CSIS) – Brief,United States,Policy Brief,"16.1, 16.3, 16.6","Urges a renewed US commitment to the Sustainable Development Goals, arguing that the US should leverage the SDGs to advance its own strategic objectives. It especially highlights SDG16 (peace, justice, strong institutions) as aligning with core US values of democracy and good governance. The brief notes the previous administration’s disengagement from the SDGs and makes the case that reengagement – starting with domestic and international action on SDG16 (e.g., justice reforms, anti-corruption, support to fragile states) – would strengthen US global leadership and credibility. It recommends the Biden administration include SDGs (and SDG16 indicators) in domestic policy plans, integrate them into foreign aid priorities, and champion SDG16 at the UN as a means to rally allies around democracy and human rights.",https://www.csis.org/analysis/its-time-united-states-reengage-sdgs-starting-sdg-16
26,"Peacebuilding through Public Participation in Local Governance: The Case Study of Mbizana Local Municipality, South Africa",Christine Dube; Lukhona Mnguni; Alain Tschudin,2021,Journal of Illicit Economies & Development (LSE Press) 2(2): 242–255,South Africa (Mbizana municipality),Academic Paper,"16.1, 16.6, 16.7","A case study demonstrating how strengthening public participation in local government can serve as a peacebuilding tool. In Mbizana (Eastern Cape, South Africa), poor service delivery and corruption had led to violent unrest (“protest capital” of S.A.). The intervention involved an NGO working with the municipality and communities to improve participatory processes (e.g., town hall meetings, budget forums) and governance transparency. The study finds this approach rebuilt trust: citizens gained access to information and felt heard, and the municipality addressed grievances more effectively. As a result, local conflict and protests subsided (“positive peace” achieved). The paper argues that empowering civil society and institutionalizing community input at the local level (SDG16.7) can mitigate violence and “quiet corruption,” illustrating how inclusive governance fosters peace.",https://jied.lse.ac.uk/articles/10.31389/jied.68
27,Realising the potential of Goal 16 of the 2030 Agenda to promote and protect Civic Space,"Deirdre De Burca, Jyotsna Mohan Singh",2020,Asia Development Alliance (ADA) & Forus International,"Global (civil-society lens, multi-region case material)",Report,"16.10, 16.7","Shows how shrinking civic space threatens SDG 16 progress and the wider 2030 Agenda. Draws on CSO case studies worldwide to argue that protecting freedoms of association, expression and access to information, and embedding civil-society indicators in national SDG reviews, are essential to achieve peaceful, just and inclusive societies. Calls on governments and partners to adopt stronger civic-space safeguards and involve CSOs in SDG monitoring and implementation.",https://ada2030.org/Goal-16-Report.pdf
28,A Territorial Approach to the Sustainable Development Goals: Synthesis Report,OECD ,2020,OECD Urban Policy Reviews,"Multi-country (case studies in cities/regions: Bonn, Kitakyushu, Córdoba, etc.)",Policy Report,"11.3, 16.7","Highlights the critical role of cities and regions in achieving the SDGs. It synthesizes findings from pilot dialogues with 9 cities/regions worldwide. The report argues that a “territorial approach” – aligning national and local efforts – is needed because about 65% of the SDG targets cannot be met without local action. Case studies show how localizing SDGs adds value (e.g., Kitakyushu, Japan integrated SDGs into city planning to spur green innovation; Paraná, Brazil linked SDG budgeting to social programs). It identifies common challenges: funding constraints for local governments, data gaps at the local level, and coordination issues between levels of government. Policy recommendations include empowering local authorities with financing and data, fostering city-to-city cooperation, and using SDG indicators to drive place-based policies.",https://www.oecd.org/content/dam/oecd/en/publications/reports/2020/02/a-territorial-approach-to-the-sustainable-development-goals_1109322e/e86fa715-en.pdf
